noise,coupling,cluster
0.013,0.185,2
0.013,0.19,2
0.013,0.195,2
0.013,0.2,2
0.014,0.0,0
0.014,0.005,0
0.014,0.01,0
0.014,0.015,1
0.014,0.02,1
0.014,0.025,1
0.014,0.03,1
0.014,0.035,1
0.014,0.04,4
0.014,0.045,4
0.014,0.05,4
0.014,0.055,4
0.014,0.06,2
0.014,0.065,4
0.014,0.07,2
0.014,0.075,2
0.014,0.08,2
0.014,0.085,2
0.014,0.09,2
0.014,0.095,2
0.014,0.1,2
0.014,0.105,2
0.014,0.11,2
0.014,0.115,2
0.014,0.12,2
0.014,0.125,2
0.014,0.13,2
0.014,0.135,2
0.014,0.14,2
0.014,0.145,2
0.014,0.15,2
0.014,0.155,2
0.014,0.16,2
0.014,0.165,2
0.014,0.17,2
0.014,0.175,2
0.014,0.18,2
0.014,0.185,2
0.014,0.19,2
0.014,0.195,2
0.014,0.2,2
0.015,0.0,0
0.015,0.005,0
0.015,0.01,1
0.015,0.015,1
0.015,0.02,1
0.015,0.025,1
0.015,0.03,1
0.015,0.035,1
0.015,0.04,4
0.015,0.045,4
0.015,0.05,4
